Graph contains edges with negative weight.
Shortest paths lengths:
0 - 1: 14
0 - 2: 42
0 - 3: 12
0 - 4: -16
0 - 5: 25
0 - 6: 0
0 - 7: 61
0 - 8: -3
0 - 9: 7
0 - 10: 11
0 - 11: -43
0 - 12: -37
0 - 13: 10
0 - 14: 5
0 - 15: 13
0 - 16: 36
0 - 17: 43
0 - 18: -18
0 - 19: 7
0 - 20: 33
0 - 21: 17
0 - 22: 24
0 - 23: -62
0 - 24: -6
0 - 25: -3
0 - 26: 24
0 - 27: 94
0 - 28: -4
0 - 29: 31
0 - 30: 33
0 - 31: -6
0 - 32: -15
0 - 33: -24
0 - 34: 20
0 - 35: 19
0 - 36: 14
0 - 37: 37
0 - 38: 10
0 - 39: -1
0 - 40: 7
0 - 41: 23
0 - 42: 19
0 - 43: 43
0 - 44: 14
0 - 45: -25
0 - 46: -20
0 - 47: 6
0 - 48: -16
0 - 49: -30
0 - 50: 23
0 - 51: -20
0 - 52: 16
0 - 53: -45
0 - 54: -12
0 - 55: 8
0 - 56: 31
0 - 57: 27
0 - 58: -28
0 - 59: 10
0 - 60: 9
0 - 61: 56
0 - 62: 32
0 - 63: 18
0 - 64: -31
0 - 65: -37
0 - 66: 20
0 - 67: 41
0 - 68: -17
0 - 69: 61
0 - 70: 17
0 - 71: 15
0 - 72: 18
0 - 73: -39
0 - 74: -45
0 - 75: -4
0 - 76: -4
0 - 77: -5
0 - 78: -102
0 - 79: 61
0 - 80: 27
0 - 81: 55
0 - 82: 28
0 - 83: 29
0 - 84: -53
0 - 85: -7
0 - 86: -27
0 - 87: 3
0 - 88: 61
0 - 89: 16
0 - 90: -7
0 - 91: 16
0 - 92: 19
0 - 93: -2
0 - 94: -39
0 - 95: -23
0 - 96: 20
0 - 97: 51
0 - 98: 5
0 - 99: 5
0 - 100: 6
0 - 101: 1
0 - 102: 39
0 - 103: 15
0 - 104: 3
0 - 105: 20
0 - 106: 29
0 - 107: -19
0 - 108: 46
0 - 109: 16
0 - 110: 7
0 - 111: -5
0 - 112: -24
0 - 113: 0
0 - 114: 64
0 - 115: -28
0 - 116: 17
0 - 117: -39
0 - 118: 26
0 - 119: 14
